iter	Passed	Remaining
0	16	16960
1	34	17277
2	51	17030
3	67	16704
4	82	16412
5	99	16466
6	114	16175
7	132	16443
8	147	16257
9	163	16166
10	179	16138
11	192	15845
12	206	15661
13	221	15570
14	237	15574
15	252	15555
16	270	15638
17	285	15566
18	300	15501
19	318	15589
20	334	15572
21	349	15550
22	367	15592
23	383	15580
24	398	15531
25	414	15522
26	431	15551
27	447	15547
28	463	15529
29	482	15604
30	499	15601
31	515	15583
32	530	15536
33	543	15442
34	557	15367
35	570	15285
36	582	15165
37	592	15011
38	604	14903
39	618	14832
40	629	14728
41	640	14601
42	651	14489
43	662	14394
44	674	14317
45	686	14240
46	697	14151
47	709	14081
48	722	14013
49	733	13940
50	745	13874
51	757	13802
52	768	13723
53	779	13661
54	790	13589
55	802	13529
56	815	13489
57	827	13433
58	840	13399
59	857	13438
60	870	13398
61	880	13328
62	891	13263
63	903	13219
64	918	13207
65	929	13152
66	941	13104
67	952	13055
68	963	13002
69	975	12955
70	987	12917
71	998	12868
72	1012	12860
73	1024	12816
74	1036	12777
75	1047	12735
76	1060	12709
77	1072	12674
78	1083	12634
79	1095	12599
80	1109	12592
81	1121	12559
82	1136	12552
83	1148	12523
84	1162	12509
85	1173	12475
86	1184	12434
87	1197	12405
88	1210	12395
89	1221	12353
90	1233	12317
91	1245	12291
92	1258	12277
93	1271	12253
94	1283	12223
95	1294	12192
96	1308	12182
97	1320	12152
98	1335	12151
99	1349	12149
100	1360	12114
101	1371	12075
102	1381	12035
103	1393	12007
104	1408	12003
105	1421	11986
106	1433	11967
107	1445	11936
108	1457	11917
109	1469	11888
110	1481	11861
111	1492	11831
112	1505	11818
113	1517	11796
114	1529	11767
115	1540	11738
116	1551	11712
117	1562	11678
118	1573	11647
119	1585	11623
120	1597	11602
121	1610	11586
122	1621	11558
123	1631	11528
124	1643	11507
125	1655	11485
126	1666	11452
127	1677	11428
128	1688	11401
129	1702	11391
130	1714	11371
131	1725	11349
132	1737	11328
133	1749	11304
134	1765	11311
135	1776	11288
136	1788	11263
137	1800	11248
138	1814	11241
139	1828	11232
140	1842	11226
141	1854	11203
142	1865	11182
143	1876	11155
144	1886	11125
145	1900	11119
146	1911	11093
147	1924	11077
148	1940	11080
149	1956	11085
150	1973	11098
151	1987	11089
152	2003	11094
153	2016	11077
154	2027	11053
155	2038	11028
156	2049	11004
157	2060	10983
158	2071	10958
159	2083	10936
160	2097	10928
161	2109	10913
162	2124	10908
163	2135	10886
164	2147	10866
165	2158	10843
166	2168	10818
167	2180	10799
168	2194	10792
169	2206	10771
170	2216	10747
171	2228	10728
172	2239	10705
173	2250	10682
174	2260	10658
175	2272	10638
176	2283	10618
177	2297	10609
178	2309	10592
179	2322	10580
180	2338	10581
181	2351	10569
182	2367	10569
183	2378	10548
184	2392	10540
185	2403	10520
186	2415	10499
187	2426	10479
188	2437	10458
189	2449	10441
190	2460	10423
191	2474	10413
192	2487	10400
193	2501	10392
194	2514	10380
195	2526	10365
196	2537	10342
197	2548	10321
198	2559	10302
199	2570	10280
200	2580	10258
201	2595	10253
202	2607	10237
203	2618	10216
204	2629	10197
205	2640	10178
206	2651	10156
207	2662	10136
208	2674	10122
209	2688	10114
210	2701	10101
211	2713	10085
212	2723	10064
213	2735	10047
214	2747	10031
215	2759	10014
216	2772	10002
217	2786	9996
218	2799	9984
219	2812	9972
220	2829	9972
221	2840	9954
222	2853	9941
223	2865	9928
224	2878	9913
225	2892	9906
226	2906	9898
227	2918	9881
228	2930	9865
229	2943	9855
230	2958	9848
231	2969	9830
232	2985	9826
233	2998	9817
234	3014	9811
235	3026	9797
236	3038	9780
237	3050	9766
238	3061	9747
239	3073	9731
240	3086	9721
241	3099	9707
242	3110	9690
243	3122	9675
244	3134	9658
245	3144	9637
246	3156	9622
247	3167	9605
248	3179	9590
249	3193	9579
250	3205	9564
251	3216	9548
252	3228	9531
253	3238	9512
254	3251	9499
255	3263	9483
256	3274	9466
257	3288	9457
258	3299	9440
259	3317	9442
260	3329	9425
261	3340	9410
262	3352	9393
263	3363	9376
264	3375	9361
265	3388	9350
266	3399	9332
267	3410	9315
268	3421	9297
269	3432	9280
270	3443	9263
271	3455	9248
272	3466	9230
273	3481	9224
274	3492	9208
275	3505	9194
276	3517	9181
277	3528	9163
278	3541	9151
279	3556	9144
280	3568	9131
281	3581	9118
282	3593	9104
283	3605	9089
284	3615	9071
285	3626	9053
286	3637	9036
287	3648	9020
288	3660	9005
289	3670	8985
290	3682	8972
291	3694	8957
292	3706	8943
293	3718	8928
294	3729	8912
295	3739	8893
296	3750	8878
297	3763	8866
298	3780	8862
299	3790	8844
300	3803	8831
301	3819	8827
302	3831	8813
303	3842	8797
304	3853	8781
305	3864	8765
306	3878	8755
307	3889	8738
308	3901	8724
309	3912	8708
310	3922	8690
311	3934	8675
312	3944	8658
313	3956	8642
314	3969	8632
315	3982	8620
316	3993	8603
317	4005	8589
318	4017	8575
319	4028	8561
320	4040	8545
321	4050	8529
322	4062	8514
323	4075	8503
324	4087	8488
325	4099	8475
326	4110	8460
327	4122	8446
328	4134	8431
329	4150	8426
330	4160	8409
331	4172	8395
332	4185	8383
333	4197	8369
334	4207	8352
335	4217	8335
336	4229	8320
337	4238	8302
338	4250	8287
339	4261	8271
340	4274	8261
341	4285	8245
342	4297	8231
343	4311	8221
344	4322	8207
345	4334	8192
346	4345	8177
347	4356	8161
348	4369	8150
349	4378	8132
350	4390	8118
351	4402	8104
352	4412	8087
353	4424	8073
354	4435	8058
355	4447	8045
356	4459	8031
357	4472	8020
358	4483	8004
359	4493	7989
360	4506	7976
361	4519	7965
362	4530	7950
363	4542	7936
364	4554	7923
365	4567	7912
366	4580	7900
367	4591	7886
368	4602	7870
369	4613	7855
370	4625	7841
371	4636	7826
372	4647	7812
373	4658	7797
374	4672	7786
375	4684	7774
376	4696	7761
377	4707	7746
378	4718	7731
379	4729	7716
380	4743	7706
381	4755	7694
382	4767	7681
383	4780	7668
384	4794	7658
385	4809	7650
386	4820	7635
387	4832	7621
388	4844	7608
389	4855	7593
390	4868	7582
391	4879	7568
392	4891	7554
393	4902	7540
394	4914	7526
395	4925	7512
396	4937	7499
397	4949	7486
398	4962	7475
399	4975	7462
400	4986	7449
401	4998	7436
402	5010	7422
403	5023	7411
404	5035	7397
405	5045	7381
406	5056	7367
407	5070	7357
408	5082	7343
409	5093	7329
410	5105	7316
411	5115	7300
412	5127	7287
413	5137	7272
414	5148	7257
415	5160	7244
416	5171	7230
417	5182	7215
418	5192	7200
419	5203	7185
420	5213	7170
421	5225	7156
422	5236	7142
423	5247	7128
424	5259	7116
425	5273	7105
426	5292	7102
427	5302	7086
428	5314	7073
429	5324	7058
430	5340	7050
431	5351	7035
432	5364	7024
433	5378	7014
434	5390	7002
435	5404	6990
436	5415	6977
437	5426	6962
438	5437	6949
439	5450	6936
440	5464	6927
441	5476	6914
442	5488	6900
443	5499	6887
444	5510	6873
445	5524	6862
446	5535	6848
447	5546	6834
448	5560	6824
449	5573	6811
450	5584	6798
451	5594	6782
452	5605	6769
453	5616	6754
454	5628	6742
455	5640	6728
456	5650	6713
457	5664	6702
458	5676	6690
459	5687	6676
460	5698	6662
461	5708	6647
462	5720	6634
463	5730	6619
464	5742	6607
465	5759	6600
466	5778	6595
467	5791	6583
468	5802	6569
469	5814	6556
470	5825	6543
471	5837	6530
472	5848	6515
473	5862	6505
474	5874	6492
475	5885	6478
476	5897	6466
477	5909	6453
478	5920	6439
479	5937	6431
480	5949	6419
481	5960	6405
482	5974	6395
483	5986	6382
484	5997	6368
485	6008	6354
486	6021	6342
487	6031	6328
488	6042	6314
489	6056	6304
490	6068	6291
491	6080	6277
492	6091	6264
493	6103	6251
494	6115	6238
495	6126	6225
496	6138	6212
497	6152	6201
498	6161	6186
499	6172	6172
500	6184	6160
501	6196	6146
502	6207	6133
503	6219	6120
504	6230	6106
505	6241	6093
506	6254	6082
507	6269	6072
508	6284	6061
509	6296	6049
510	6307	6036
511	6319	6022
512	6330	6009
513	6341	5996
514	6356	5986
515	6367	5972
516	6378	5959
517	6389	5945
518	6400	5931
519	6412	5919
520	6422	5904
521	6433	5891
522	6447	5880
523	6459	5867
524	6469	5853
525	6481	5841
526	6492	5827
527	6503	5813
528	6515	5801
529	6531	5792
530	6544	5780
531	6555	5767
532	6569	5756
533	6581	5742
534	6592	5729
535	6603	5716
536	6614	5702
537	6625	5689
538	6637	5676
539	6651	5665
540	6664	5653
541	6675	5640
542	6686	5627
543	6697	5613
544	6707	5600
545	6718	5586
546	6729	5573
547	6743	5562
548	6755	5549
549	6772	5541
550	6784	5528
551	6797	5516
552	6807	5502
553	6817	5488
554	6827	5474
555	6843	5465
556	6860	5456
557	6875	5446
558	6891	5436
559	6908	5427
560	6925	5419
561	6942	5410
562	6956	5399
563	6967	5386
564	6981	5374
565	6992	5361
566	7003	5348
567	7016	5336
568	7026	5322
569	7041	5312
570	7052	5298
571	7063	5285
572	7075	5272
573	7086	5259
574	7097	5246
575	7109	5233
576	7125	5223
577	7138	5211
578	7150	5199
579	7161	5185
580	7173	5173
581	7183	5159
582	7195	5146
583	7207	5134
584	7219	5121
585	7230	5108
586	7244	5096
587	7261	5088
588	7273	5075
589	7284	5061
590	7296	5049
591	7306	5035
592	7317	5022
593	7328	5008
594	7342	4997
595	7353	4984
596	7365	4971
597	7377	4959
598	7388	4945
599	7398	4932
600	7410	4919
601	7421	4906
602	7432	4893
603	7446	4882
604	7455	4867
605	7466	4854
606	7477	4841
607	7488	4828
608	7500	4815
609	7511	4802
610	7522	4789
611	7535	4777
612	7547	4765
613	7559	4752
614	7570	4739
615	7581	4726
616	7592	4712
617	7604	4700
618	7616	4687
619	7628	4675
620	7642	4664
621	7654	4651
622	7665	4638
623	7677	4626
624	7689	4613
625	7706	4604
626	7723	4594
627	7743	4586
628	7761	4577
629	7775	4566
630	7786	4553
631	7797	4540
632	7808	4527
633	7819	4514
634	7833	4502
635	7845	4490
636	7856	4477
637	7867	4464
638	7879	4451
639	7890	4438
640	7902	4425
641	7914	4413
642	7925	4400
643	7938	4388
644	7950	4375
645	7961	4362
646	7971	4349
647	7982	4336
648	7993	4323
649	8007	4311
650	8018	4298
651	8031	4286
652	8044	4274
653	8056	4262
654	8068	4249
655	8079	4237
656	8090	4223
657	8101	4210
658	8113	4198
659	8124	4185
660	8139	4174
661	8151	4161
662	8163	4149
663	8174	4136
664	8185	4123
665	8198	4111
666	8209	4098
667	8221	4086
668	8233	4073
669	8247	4062
670	8261	4050
671	8272	4037
672	8283	4024
673	8294	4011
674	8306	3999
675	8322	3988
676	8335	3976
677	8346	3964
678	8357	3951
679	8368	3938
680	8380	3925
681	8391	3912
682	8403	3900
683	8413	3887
684	8424	3874
685	8438	3862
686	8449	3849
687	8461	3837
688	8473	3824
689	8484	3811
690	8496	3799
691	8508	3787
692	8521	3774
693	8538	3764
694	8550	3752
695	8561	3739
696	8572	3726
697	8583	3713
698	8594	3700
699	8605	3688
700	8616	3675
701	8630	3663
702	8643	3651
703	8655	3639
704	8666	3626
705	8678	3613
706	8689	3600
707	8700	3588
708	8711	3575
709	8726	3564
710	8740	3552
711	8752	3540
712	8764	3527
713	8775	3515
714	8787	3502
715	8798	3489
716	8808	3476
717	8820	3464
718	8834	3452
719	8846	3440
720	8857	3427
721	8869	3415
722	8881	3402
723	8892	3389
724	8903	3377
725	8918	3365
726	8933	3354
727	8945	3342
728	8958	3330
729	8970	3317
730	8981	3305
731	8993	3292
732	9004	3279
733	9017	3267
734	9031	3256
735	9042	3243
736	9054	3231
737	9065	3218
738	9076	3205
739	9086	3192
740	9097	3179
741	9108	3167
742	9120	3154
743	9133	3142
744	9145	3130
745	9156	3117
746	9167	3105
747	9179	3092
748	9189	3079
749	9201	3067
750	9214	3054
751	9231	3044
752	9244	3032
753	9255	3019
754	9267	3007
755	9278	2994
756	9289	2982
757	9300	2969
758	9313	2957
759	9327	2945
760	9338	2932
761	9349	2920
762	9360	2907
763	9372	2895
764	9380	2881
765	9391	2868
766	9402	2856
767	9415	2844
768	9428	2832
769	9438	2819
770	9449	2806
771	9465	2795
772	9485	2785
773	9498	2773
774	9514	2762
775	9526	2749
776	9536	2737
777	9547	2724
778	9559	2711
779	9574	2700
780	9590	2689
781	9604	2677
782	9618	2665
783	9630	2653
784	9641	2640
785	9652	2628
786	9664	2615
787	9675	2603
788	9689	2591
789	9702	2579
790	9719	2568
791	9732	2555
792	9742	2543
793	9753	2530
794	9764	2517
795	9775	2505
796	9787	2492
797	9798	2480
798	9810	2467
799	9824	2456
800	9838	2444
801	9849	2431
802	9860	2419
803	9873	2407
804	9885	2394
805	9896	2381
806	9907	2369
807	9921	2357
808	9931	2344
809	9943	2332
810	9954	2319
811	9965	2307
812	9976	2294
813	9987	2282
814	10000	2269
815	10014	2258
816	10026	2245
817	10038	2233
818	10049	2221
819	10062	2208
820	10074	2196
821	10085	2183
822	10099	2172
823	10115	2160
824	10126	2148
825	10137	2135
826	10148	2122
827	10159	2110
828	10170	2097
829	10181	2085
830	10196	2073
831	10213	2062
832	10225	2050
833	10237	2037
834	10249	2025
835	10261	2013
836	10273	2000
837	10284	1988
838	10295	1975
839	10309	1963
840	10323	1951
841	10336	1939
842	10348	1927
843	10359	1914
844	10371	1902
845	10382	1889
846	10394	1877
847	10407	1865
848	10419	1853
849	10430	1840
850	10442	1828
851	10453	1815
852	10465	1803
853	10477	1791
854	10487	1778
855	10500	1766
856	10514	1754
857	10526	1742
858	10537	1729
859	10552	1717
860	10563	1705
861	10580	1693
862	10596	1682
863	10612	1670
864	10624	1658
865	10636	1645
866	10647	1633
867	10658	1620
868	10669	1608
869	10680	1595
870	10696	1584
871	10714	1572
872	10727	1560
873	10741	1548
874	10757	1536
875	10775	1525
876	10788	1513
877	10803	1501
878	10816	1488
879	10827	1476
880	10838	1464
881	10850	1451
882	10862	1439
883	10873	1426
884	10884	1414
885	10895	1401
886	10909	1389
887	10922	1377
888	10934	1365
889	10946	1352
890	10958	1340
891	10969	1328
892	10980	1315
893	10990	1303
894	11005	1291
895	11017	1278
896	11029	1266
897	11040	1254
898	11051	1241
899	11063	1229
900	11074	1216
901	11085	1204
